element,id,operator,railway,railway:local_operated,railway:switch,railway:switch:electric,railway:switch:heated,railway:switch:movable_frog,railway:switch:resetting,railway:turnout_side,ref,source,railway:switch:configuration,description,video,railway:maxspeed:diverging,railway:maxspeed:straight,railway:switch_ref,image,source:ref,fixme,railway:radius,railway:electricity,control,railway:local_operated:home_position,usage,railway:electricity:jumpering,disused,note,level,layer,crossing,tactile_paving,wheelchair,source:description,razed:railway,name,abandoned,railway:track_ref,geometry
node,30207324,DB Netz AG,switch,,default,,,,,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3949461 52.5632995)
node,30207938,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3875941 52.5683771)
node,30207954,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3871089 52.5692762)
node,30207968,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3880016 52.5679398)
node,30207981,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3817129 52.5714435)
node,30207985,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3877972 52.5681486)
node,30207986,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3876218 52.5683883)
node,30208065,,switch,,default,,,,,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4482845 52.5955092)
node,30208861,DB InfraGO AG,switch,no,default,yes,yes,no,no,right,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4342584 52.5420256)
node,30208862,DB InfraGO AG,switch,no,inner_curved,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4357017 52.5414474)
node,30209491,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4459861 52.5372034)
node,30209495,,switch,yes,default,no,,no,no,left,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4471939 52.53643)
node,30209497,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4481712 52.5358176)
node,30209514,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4489339 52.5351294)
node,30209518,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4463679 52.5370234)
node,30209521,,switch,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4477257 52.5359284)
node,30209536,,switch,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4431428 52.5373099)
node,30209552,,switch,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4422717 52.5372915)
node,30210473,,switch,no,default,yes,,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4752592 52.5140711)
node,30211984,DB Netz AG,switch,no,outer_curved,yes,yes,no,no,left,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4796654 52.5007536)
node,30211987,,switch,no,outer_curved,yes,yes,no,no,right,06W602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4847162 52.4989183)
node,30214846,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4501902 52.5068514)
node,30214847,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4495834 52.5070793)
node,30214848,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4478947 52.5078948)
node,30214849,,switch,,default,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4486705 52.507539)
node,30215156,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4473285 52.5071163)
node,30215164,DB Netz AG,switch,no,default,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4379759 52.5096974)
node,30215169,DB Netz AG,switch,no,default,yes,,no,no,right,W22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4362832 52.5102959)
node,30215172,DB Netz AG,switch,no,outer_curved,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4386158 52.5091803)
node,30215176,DB Netz AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4415162 52.5079012)
node,30215178,DB Netz AG,switch,no,default,yes,yes,no,no,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4413594 52.5079455)
node,30215193,DB Netz AG,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4438389 52.5074717)
node,30215197,DB Netz AG,switch,no,default,yes,,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4383282 52.5087232)
node,30215212,DB InfraGO AG,switch,no,inner_curved,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4335219 52.5114014)
node,30215220,DB InfraGO AG,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4297314 52.5116787)
node,30215221,DB InfraGO AG,switch,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4274868 52.5119531)
