element,id,operator,railway,railway:signal:combined,railway:signal:direction,railway:signal:position,ref,description,note,geometry
node,30353473,,signal,DE-ESO:ks,backward,left,54E,Unknown,Unknown,POINT (13.365738 52.4709414)
node,30353486,,signal,DE-ESO:ks,forward,right,54 N35,Ks-Mehrabschnittssignal in südlicher Richtung,Unknown,POINT (13.3592319 52.4596473)
node,30688269,,signal,,forward,right,489,Unknown,Unknown,POINT (13.5263186 52.5494085)
node,30731459,,signal,,forward,overhead,,Unknown,Unknown,POINT (13.4035328 52.5230681)
node,30731509,,signal,,forward,right,,Unknown,Unknown,POINT (13.4195868 52.5249305)
node,33208809,,signal,,forward,right,,Unknown,Unknown,POINT (13.1805442 52.5354875)
node,34660474,,signal,DE-ESO:ks,backward,left,20 19,Unknown,Unknown,POINT (13.3612353 52.4473312)
node,34663438,,signal,DE-ESO:ks,forward,right,2002,Unknown,Unknown,POINT (13.3566121 52.4552198)
node,34663444,,signal,,backward,left,V298,Unknown,Unknown,POINT (13.3561738 52.4561762)
node,34663446,,signal,DE-ESO:ks,backward,right,2004,Unknown,Unknown,POINT (13.3565473 52.4552125)
node,34663478,,signal,,forward,right,,Unknown,Unknown,POINT (13.356605 52.460321)
node,35216993,,signal,DE-ESO:ks,backward,left,8821,Unknown,Unknown,POINT (13.5633136 52.432698)
node,46601363,,signal,DE-ESO:ks,forward,right,3408,Unknown,Unknown,POINT (13.2756634 52.4980173)
node,46601374,DB InfraGO AG,signal,DE-ESO:ks,forward,right,3404,Unknown,Unknown,POINT (13.2801356 52.4993505)
node,55377560,,signal,,backward,left,N6,Unknown,Unknown,POINT (13.2821458 52.5014204)
node,59261493,DB Netz AG,signal,,forward,right,,Ks-Vorsignal mit Geschwindigkeitsvoranzeiger (zs 3v) in Richtung Gesundbrunnen,Unknown,POINT (13.4655248 52.6024098)
node,59863779,DB InfraGO AG,signal,DE-ESO:ks,forward,left,3450,Ks-Mehrabschnittssignal in östlicher Richtung,Das Zs 3 kann evtl auch dunkel geschaltet sein,POINT (13.2439657 52.5119209)
node,59863784,DB InfraGO AG,signal,DE-ESO:ks,forward,right,3448,Ks-Mehrabschnittssignal in östlicher Richtung,Das Zs 3 kann evtl auch dunkel geschaltet sein,POINT (13.2439842 52.5118816)
node,59863874,DB InfraGO AG,signal,DE-ESO:ks,forward,left,3442,Ks-Mehrabschnittssignal in östlicher Richtung,Das Zs 3 kann evtl auch dunkel geschaltet sein,POINT (13.2441046 52.5115947)
node,59978124,,signal,,backward,left,,Unknown,Unknown,POINT (13.1617974 52.5384818)
node,59979572,,signal,,forward,right,,Unknown,Unknown,POINT (13.1708569 52.5387816)
